Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito);Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual;Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de negócios;Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface;Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta ? Outros;E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Outros;Quanto aprendeu com a DreamShaper?
;;;;;;;;;;;;;;;;;;;;;;;
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;Mural de equipa;;;;;;Perguntas;;;;;;Gestão de equipa;Gestão de projectos;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;Gestão de projectos;;;;;Exemplos;;;;Mural de equipa;;;"Poucos caracteres; Para quem tem falta de experiência, falta alguma ajuda";Bastante
3;Aspecto Visual;;;Exemplos;;;;;;Gestão de projectos;;;Navegação na ferramenta;;;Vídeos;;;Mural de equipa;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;;;Indicações de Interface;;;Gestão de projectos;;;;;;Vídeos;;;;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;Perguntas;Exemplos;;;Indicações de Interface;;;;;Bastante
4;;;;;;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;Aspeto Visual;Navegação na ferramenta;Perguntas;;;;;;;;;Imenso
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;;;;;Gestão de projectos;;;;Perguntas;;;;Indicações de Interface;;;;Etapa 3, nomeadamente segmentação e especificação de mercado pouco clara;Bastante
3;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;Gestão de equipa;;;;;Perguntas;Exemplos;;;;;;Gestão de projectos;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;Alguma coisa
4;;Navegação na ferramenta;Perguntas;;Vídeos;;;;;;;;;;Exemplos;;Modelo de negócios;Indicações de Interface;;;;;Alguma coisa
4;Aspecto Visual;;;;Vídeos;Modelo de negócios;;;;;;;;;;;;;;;;Algumas perguntas;Bastante
4;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;Aspeto Visual;;;;Vídeos;;Indicações de Interface;;;;;Pouco
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;;;;;;;;;;;;Datas limite não estavam muito claras entre alguns painéis.;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;Gestão de equipa;Gestão de projectos;;;;Perguntas;Exemplos;Vídeos;;;;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;;;;;;;;Simplicidade;;;;;;;;Mural de equipa;Gestão de equipa;;Resultado do seu Projeto;Bastante
3;;Navegação na ferramenta;Perguntas;;Vídeos;;;;;;;;;;;;;Indicações de Interface;;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;;;;;;Gestão de equipa;Gestão de projectos;;;;;Exemplos;Vídeos;;;;;;;Alguma coisa
4;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;Exemplos;Vídeos;;;;;;----;Imenso
4;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;Perguntas;;;;Indicações de Interface;Mural de equipa;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;;;;;;;;Indicações de Interface;Mural de equipa;Gestão de equipa;;;Imenso
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;;Indicações de Interface;;;;;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;Bastante
4;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;Aspeto Visual;Navegação na ferramenta;;;;;;;Gestão de equipa;;;Alguma coisa
3;Aspecto Visual;;;Exemplos;;;Indicações de Interface;;;;;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;Alguma coisa
3;Aspecto Visual;Navegação na ferramenta;;;;;;;;;;;;Perguntas;Exemplos;Vídeos;;;;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;Exemplos;;;Indicações de Interface;;;;os caracteres limitados;Bastante
4;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;;;;arquetipo do cliente;Imenso
4;;;;Exemplos;Vídeos;;;;;;;Aspeto Visual;;;;;;;;;;;Imenso
3;;;;;Vídeos;Modelo de negócios;Indicações de Interface;;;;;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;;;;;;Limitação de caracteres é muito baixa em algumas situações;Bastante
4;;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;;Aspeto Visual;;;;;;Indicações de Interface;Mural de equipa;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;;;;;Navegação na ferramenta;;Exemplos;;;Indicações de Interface;;;;;Alguma coisa
4;;Navegação na ferramenta;Perguntas;;Vídeos;Modelo de negócios;;;;;;Aspeto Visual;;;Exemplos;;;;;;;;Bastante
4;;;;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;;;;;Aspeto Visual;Navegação na ferramenta;;;;;;;;;Devia poder-se passar á pergunta seguinte sem responder. Facilitava a compreensão e a resposta posterior seria melhor.;Imenso
4;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;;;;;;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;Modelo de negócios;Indicações de Interface;;Gestão de equipa;Gestão de projectos;;;;;;;;;;;;Não tenho nada a apontar como aspecto negativo;Bastante
4;Aspecto Visual;;Perguntas;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;;Gestão de equipa;Gestão de projectos;;;Navegação na ferramenta;;;;;;;;;;Imenso
3;Aspecto Visual;Navegação na ferramenta;;;;;;;;;;;;;;Vídeos;;;;;;;Pouco
3;;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;Gestão de projectos;;Aspeto Visual;;Perguntas;;;;;Mural de equipa;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;Perguntas;Exemplos;;;Indicações de Interface;;;;;Alguma coisa
3;;Navegação na ferramenta;;;Vídeos;;;;;;;;;Perguntas;Exemplos;;;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;Perguntas;;Vídeos;;Indicações de Interface;;;;;Bastante
3;;;;;;;;;;;o seu todo;;;;Exemplos;Vídeos;;;;;;Os exemplos e vídeos são bons, mas tinha de responder 3 aspectos;Bastante
3;;Navegação na ferramenta;Perguntas;;Vídeos;;;;;;;;;;;;;Indicações de Interface;;Gestão de equipa;Gestão de projectos;;Bastante
4;;Navegação na ferramenta;;Exemplos;;;Indicações de Interface;;;;;Aspeto Visual;;;;;;;Mural de equipa;Gestão de equipa;;;Alguma coisa
3;;;;Exemplos;Vídeos;;;;;Gestão de projectos;;;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;;;Imenso
3;Aspecto Visual;;;Exemplos;Vídeos;Modelo de negócios;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;;;Alguma coisa
3;;;;;Vídeos;Modelo de negócios;;;;;;;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;;;Alguma coisa
2;;Navegação na ferramenta;;;;;;;Gestão de equipa;Gestão de projectos;;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;Alguma coisa
1;;;;Exemplos;;;;;;;;Aspeto Visual;Navegação na ferramenta;Perguntas;;;;;;;;;Pouco
4;;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;Vídeos;;;;;;;Alguma coisa
4;Aspecto Visual;;;Exemplos;Vídeos;;;;;;;;Navegação na ferramenta;;;;;;;;;;Bastante
3;;;;;Vídeos;Modelo de negócios;Indicações de Interface;;;;;;;Perguntas;;;;;;;;Pouca flexibilidade na forma de resposta em alguns campos (ex: números na segmentação de mercado, sem possibilidade de dar informação de contexto);Alguma coisa
4;;;;Exemplos;Vídeos;;Indicações de Interface;;;Gestão de projectos;;;;;;;;;;;;Existem aspectos dificeis para mim acompanhar o que se pede;Bastante
4;;Navegação na ferramenta;;;;Modelo de negócios;;;;;Sessões de esclarecimento no facebook;;;;Exemplos;;;Indicações de Interface;Mural de equipa;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;Perguntas;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;Aspeto Visual;;;;;;;Mural de equipa;Gestão de equipa;;;Bastante
;;;;;;;;;;;;;;;;;;;;;;;
4;;Navegação na ferramenta;;Exemplos;Vídeos;;Indicações de Interface;;;;;;;;;;;;;;;No início, há várias máscaras que se orientam sobre o site, que precisam ser clicadas fora primeiro;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;Indicações de Interface;;;Gestão de projectos;;;;;Exemplos;;;;;;;;Bastante
4;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;Mural de equipa;;;;Aspeto Visual;;;Exemplos;;;Indicações de Interface;;;;;Imenso
3;;;;Exemplos;;Modelo de negócios;;;;;;;;;Exemplos;;;;;;;;Alguma coisa
3;;;;Exemplos;;Modelo de negócios;;;;;;;Navegação na ferramenta;;;Vídeos;;;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;;;Gestão de equipa;;;;;Perguntas;;;Modelo de negócios;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;;;;Perguntas;;;;;;;Gestão de projectos;exportação para pdf tem falhas;Alguma coisa
3;;;;;Vídeos;;Indicações de Interface;;;;;;Navegação na ferramenta;;;;;;;;;;Bastante
3;Aspecto Visual;;Perguntas;;Vídeos;;;;;;;;Navegação na ferramenta;;;;;;;Gestão de equipa;Gestão de projectos;;Bastante
4;;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;Modelo de negócios;;;;;;;;;;;;;;;;Não poder ter uma visão geral das questões de todas as fases.;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;Exemplos;;;Indicações de Interface;;;;Poderiam colocar por exemplo algumas questões tipo para entrevista;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Modelo de negócios;Indicações de Interface;Mural de equipa;;;;Imenso
;;;;;;;;;;;;;;;;;;;;;;;
2;Aspecto Visual;;;;Vídeos;Modelo de negócios;;;;;;;;Perguntas;Exemplos;;;;;;;Número de Caracteres (insuficientes);Alguma coisa
4;Aspecto Visual;;Perguntas;;;Modelo de negócios;Indicações de Interface;;Gestão de equipa;Gestão de projectos;;;;;Exemplos;Vídeos;;;Mural de equipa;;;;Imenso
3;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;Exemplos;Vídeos;;;Mural de equipa;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;Mural de equipa;Gestão de equipa;Gestão de projectos;;;;;;;;;;;;Gostei de toda a ferramenta;Imenso
3;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;Vídeos;;Indicações de Interface;;;;Demora no esclarecimento de dúvidas;Alguma coisa
3;;Navegação na ferramenta;;;;;;;;;;;;;Exemplos;;Modelo de negócios;Indicações de Interface;;;;;Bastante
4;;Navegação na ferramenta;Perguntas;Exemplos;;Modelo de negócios;;;;;;;;;;;;;;;;Nao poder falar com alguem presencial para tirar duvidas com o projecto a frente.;Bastante
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;;Perguntas;;Vídeos;;Indicações de Interface;;;;;Alguma coisa
3;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;;Exemplos;;;;;Gestão de equipa;;Em alguns casos (poucos) as caixas de texto não eram suficientemente grandes para poder expor tudo o que pretendia (mesmo que de uma forma resumida).;Bastante
4;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;;Perguntas;Exemplos;;;;;;;Pouco espaço para resposta;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;Indicações de Interface;;;;;;;;Exemplos;Vídeos;;;;;;;Alguma coisa
3;Aspecto Visual;;Perguntas;Exemplos;Vídeos;Modelo de negócios;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;;"Incapacidade de portabilidade da plataforma ""The Next Startup"" para a do concurso Acredita Portugal";Bastante
4;;Navegação na ferramenta;Perguntas;Exemplos;;Modelo de negócios;Indicações de Interface;;;;;Aspeto Visual;;;Exemplos;;;;;;;As vezes cria freezes.;Imenso
4;;;;;;Modelo de negócios;;;;;Acho que está muito bem concebido, uma pessoa que saiba pouco sobre como orientar o negócio ou fazer o plano de negócios tem uma ferramenta simples e efeciente.;Aspeto Visual;Navegação na ferramenta;;;;;;;;;Não tem quase nada que não goste, só a navegação para ver  ou editar o que fiemos para trás e que não é prática.;Bastante
2;Aspecto Visual;;;Exemplos;;Modelo de negócios;Indicações de Interface;;;;;;;;;Vídeos;;;Mural de equipa;;;Conteúdos desnecessários;Bastante
2;;;;Exemplos;;;;;;;;;Navegação na ferramenta;;;;;;;;;;Alguma coisa
4;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;;Perguntas;;;;Indicações de Interface;;Gestão de equipa;;;Imenso
3;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;;;;algumas questões não se aplicam enquanto há outros tópicos onde não encontrámos espaço para os expor.;Bastante
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;;Indicações de Interface;;;Gestão de projectos;;;;;;;;;;;;Sinto pouco acompanhamento e acabamentos;Alguma coisa
4;;;;;;Modelo de negócios;Indicações de Interface;;;;;;Navegação na ferramenta;;;;;;;;;;Imenso
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;;;;;;nenhum a apontar;Bastante
3;;;;Exemplos;Vídeos;;;;;Gestão de projectos;;;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;;;Alguma coisa
2;Aspecto Visual;Navegação na ferramenta;;;;;;;;;;;;Perguntas;Exemplos;Vídeos;;;;;;;Pouco
4;Aspecto Visual;;;;Vídeos;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;;Navegação na ferramenta;;Exemplos;;;;;;;Algumas perguntas;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;Perguntas;;;;;Mural de equipa;Gestão de equipa;;;Alguma coisa
3;Aspecto Visual;;;Exemplos;Vídeos;;;;;;;;;;;;;;Mural de equipa;;;;Bastante
4;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;Aspeto Visual;;Perguntas;;;;;;;;;Imenso
4;;Navegação na ferramenta;Perguntas;;;;;;;;;;;;Exemplos;Vídeos;;;;;;;Alguma coisa
4;Aspecto Visual;;;Exemplos;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;Perguntas;;;;;;;;;Bastante
4;;;Perguntas;Exemplos;Vídeos;Modelo de negócios;;;;;;;;;;;;Indicações de Interface;;Gestão de equipa;Gestão de projectos;;Imenso
4;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;Mural de equipa;Gestão de equipa;Gestão de projectos;;;;;;;;;;;;Não há aspectos negativos;Imenso
3;Aspecto Visual;Navegação na ferramenta;;;;;;;;;;;;;Exemplos;;;;;;;;Bastante
4;;Navegação na ferramenta;Perguntas;;Vídeos;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;;;;Exemplos;;;Indicações de Interface;Mural de equipa;;;;Bastante
3;;;Perguntas;Exemplos;Vídeos;Modelo de negócios;;Mural de equipa;Gestão de equipa;Gestão de projectos;;Aspeto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;;;;Vídeos;Modelo de negócios;;;;;;;Navegação na ferramenta;;Exemplos;;;;;;;;Bastante
4;;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;Gestão de projectos;;;;;Exemplos;Vídeos;;;;;;não tenho;Bastante
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;;;;;;;;Indicações de Interface;Mural de equipa;Gestão de equipa;;;Bastante
4;;;Perguntas;Exemplos;;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;;;;;Vídeos;;;;;;;Imenso
4;Aspecto Visual;;;;;Modelo de negócios;;;;Gestão de projectos;;;;;Exemplos;;;;;;;;Bastante
4;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;;;Vídeos;;;Mural de equipa;;;;Alguma coisa
4;Aspecto Visual;;;;Vídeos;;;;;Gestão de projectos;;;Navegação na ferramenta;;;;;Indicações de Interface;;Gestão de equipa;;;Alguma coisa
4;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;;;;;;Gestão de projectos;;Bastante
4;;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;;Aspeto Visual;;Perguntas;;;;Indicações de Interface;;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;Perguntas;;Vídeos;Modelo de negócios;;;;;;;;;;;;Indicações de Interface;Mural de equipa;Gestão de equipa;;;Alguma coisa
4;Aspecto Visual;;;Exemplos;Vídeos;;;;;;;;;;;;;Indicações de Interface;;;;;Alguma coisa
3;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;Aspeto Visual;;;;;;Indicações de Interface;Mural de equipa;;;;Alguma coisa
3;;;Perguntas;Exemplos;;;;;;;;;Navegação na ferramenta;;;;;;;;Gestão de projectos;Impossibilidade de imprimir todas as perguntas e respostas;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;Perguntas;Exemplos;;;;;;Gestão de projectos;;Bastante
;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;Vídeos;;Indicações de Interface;;;Gestão de projectos;;Aspeto Visual;Navegação na ferramenta;;;;;;;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;Mural de equipa;Gestão de equipa;Gestão de projectos;;;;;;;;;;;;NDA ME INCOMODOU;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;Gestão de equipa;Gestão de projectos;;;;;;Vídeos;;;;;;;Imenso
4;;;Perguntas;Exemplos;Vídeos;Modelo de negócios;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;Gestão de projectos;;Bastante
4;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;;;;Modelo de negócios;Indicações de Interface;Mural de equipa;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;Perguntas;;;;;;;;;Alguma coisa
4;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;Aspeto Visual;;;Exemplos;;;;Mural de equipa;;;;Imenso
3;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;;;;Mural de equipa;;;;Bastante
;;;;;;;;;;;;;;;;;;;;;;;
4;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;Perguntas;Exemplos;Vídeos;;;;;;;Imenso
3;;;;;Vídeos;;Indicações de Interface;;;;Gratuito;;;Perguntas;;;;;;;;Não há exemplos suficientes;Alguma coisa
3;;;;Exemplos;;Modelo de negócios;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;;Campos de texto em certas áreas são demasiado pequenos;Alguma coisa
3;Aspecto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;;;;;Perguntas;Exemplos;;;;Mural de equipa;;;;Bastante
3;Aspecto Visual;;Perguntas;;;;;;;Gestão de projectos;;;;Perguntas;;Vídeos;Modelo de negócios;;;;;;Bastante
3;Aspecto Visual;;;Exemplos;;Modelo de negócios;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;;A linguagem usada é, por vezes, demasiado técnica;Bastante
3;;Navegação na ferramenta;;;Vídeos;;Indicações de Interface;;;;;;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;;;Alguma coisa
4;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;Perguntas;Exemplos;;;;Mural de equipa;;;;Bastante
3;Aspecto Visual;;;;;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;;Exemplos;;;Indicações de Interface;;;;;Alguma coisa
4;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;Aspeto Visual;;;Exemplos;;;Indicações de Interface;;;;;Bastante
4;;Navegação na ferramenta;;;;;;;;Gestão de projectos;Guia prático na condução e elaboração do projeto;;;;Exemplos;;;Indicações de Interface;;;;As perguntas podiam ser mais detalhadas para ajudar a responder;Imenso
3;;Navegação na ferramenta;;;;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;;;Perguntas;;Vídeos;;;;Gestão de equipa;;;Alguma coisa
;;;;;;;;;;;;;;;;;;;;;;;
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;Indicações de Interface;;;;;;;;;Vídeos;;;;;;;Imenso
4;;;Perguntas;Exemplos;Vídeos;Modelo de negócios;;;;;;;;;;;;;;;;Processo muitíssimo complexo para quem pretende concorrer a um concurso, sendo certo que no meu caso não tem nada haver ainda com a área do empreendedorismo, muito embora haja uma intenção presente/futura para o fazer.;Imenso
4;Aspecto Visual;;Perguntas;;;;;Mural de equipa;;Gestão de projectos;;;;;Exemplos;;;Indicações de Interface;;;;Poucos exemplos.;Bastante
4;;;Perguntas;Exemplos;Vídeos;Modelo de negócios;;Mural de equipa;Gestão de equipa;;;Aspeto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;;;Imenso
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;;;;Pouco espaço para as respostas;Alguma coisa
3;;;;Exemplos;Vídeos;Modelo de negócios;;;;;;Aspeto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;;;Bastante
3;;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;Exemplos;;;;;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;;Indicações de Interface;;;;;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;;;;;;;;;;;Exemplos;;;;Mural de equipa;Gestão de equipa;;;Alguma coisa
3;;;Perguntas;Exemplos;;;Indicações de Interface;;;;;Aspeto Visual;Navegação na ferramenta;;;Vídeos;;;;;;;Alguma coisa
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;;;;;;;;;;;;não tenho nenhum aspecto que não goste em particular;Bastante
4;;;;;Vídeos;Modelo de negócios;Indicações de Interface;;;;;;;;Exemplos;;;;Mural de equipa;;;Espaço demasiado limitado para desenvolver as questões;Bastante
3;;;;Exemplos;Vídeos;;;;;;;;Navegação na ferramenta;Perguntas;;;;;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;;Exemplos;;;;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;;;;Exemplos;;;Indicações de Interface;Mural de equipa;;;;Bastante
4;;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;Modelo de negócios;;Mural de equipa;Gestão de equipa;Gestão de projectos;;;;;;;;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;Indicações de Interface;;;;;;;Perguntas;;;;;Mural de equipa;;;;Imenso
3;;;Perguntas;Exemplos;;;;;;;;;Navegação na ferramenta;;;;;;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;;Gestão de projectos;;;;;Exemplos;;;;Mural de equipa;;;Limitação de caracteres nas respostas em alguns campos;Bastante
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;Indicações de Interface;;Gestão de equipa;Gestão de projectos;;;;Perguntas;;Vídeos;;;Mural de equipa;;;;Bastante
4;;;Perguntas;;;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;;;;Exemplos;;;Indicações de Interface;;Gestão de equipa;;;Bastante
3;;;;;Vídeos;Modelo de negócios;;;;;;Aspeto Visual;;Perguntas;;Vídeos;;;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;Simplicidade;;;;Exemplos;;;;;;;;Imenso
3;;Navegação na ferramenta;;Exemplos;;;Indicações de Interface;;;;;Aspeto Visual;;;;;;;Mural de equipa;;;Algumas perguntas mais complicadas;Bastante
3;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;;;;;Gestão de projectos;;;;Perguntas;;;Modelo de negócios;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;;Perguntas;;Vídeos;;;;Gestão de equipa;Gestão de projectos;;;Navegação na ferramenta;;;;;Indicações de Interface;Mural de equipa;;;;Bastante
4;Aspecto Visual;;;;Vídeos;;Indicações de Interface;;;;;;;;Exemplos;;Modelo de negócios;;Mural de equipa;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;Alguma coisa
4;;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;Gestão de projectos;;Aspeto Visual;;;;;;;Mural de equipa;Gestão de equipa;;;Bastante
3;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;Gestão de projectos;;;;Perguntas;;;;Indicações de Interface;Mural de equipa;;;;Bastante
3;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;;Exemplos;Vídeos;;;;Gestão de equipa;;;Alguma coisa
