"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual,Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta,Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas,Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos,Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos,Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios,Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface,Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos,Quais são os seus 3 aspectos preferidos da ferramenta ? Outros,E quais são os 3 aspectos que menos gosta? Aspecto visual,E quais são os 3 aspectos que menos gosta? Navegação na ferramenta,E quais são os 3 aspectos que menos gosta? Perguntas,E quais são os 3 aspectos que menos gosta? Exemplos,E quais são os 3 aspectos que menos gosta? Vídeos,E quais são os 3 aspectos que menos gosta? Modelo de negócios,E quais são os 3 aspectos que menos gosta? Indicações de interface,E quais são os 3 aspectos que menos gosta? Mural de equipa,E quais são os 3 aspectos que menos gosta? Gestão de equipa,E quais são os 3 aspectos que menos gosta? Gestão de projectos,E quais são os 3 aspectos que menos gosta? Outros,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
3,0,0,0,1,1,1,0,0,0,0,,1,0,0,0,0,0,0,0,1,1,"Aparece outra inscrição de projeto em meu nome, não sei porque, não me responderam",Bastante,3,4.0
3,0,0,1,1,1,1,0,0,0,1,estatísticas das estimativas financeiras,0,0,0,0,0,0,1,1,0,0,número de cliques para alcançar determinado ponto,Bastante,3,4.0
4,0,1,0,1,0,1,0,0,0,0,,1,0,0,0,1,0,1,0,0,0,,Alguma coisa,4,3.0
4,0,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,nao encontro.,Imenso,4,5.0
4,0,0,0,1,1,1,0,0,0,0,,0,0,0,0,1,0,1,0,0,1,,Imenso,4,5.0
4,0,0,0,0,0,1,1,0,0,0,,0,0,0,1,0,0,0,0,1,0,Timeline tarefas não editável,Alguma coisa,4,3.0
4,0,0,0,0,0,1,1,0,0,1,,0,0,0,0,1,0,0,1,1,0,,Bastante,4,4.0
4,1,1,0,0,0,1,0,0,0,1,,0,0,1,0,0,0,0,0,1,0,gosto de tudo . muito boa a ferramenta,Bastante,4,4.0
4,1,0,0,0,0,1,0,0,0,1,,0,1,0,1,0,0,1,0,0,0,,Alguma coisa,4,3.0
3,1,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Não tenho nada a apontar,Bastante,3,4.0
4,0,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Não tenho,Alguma coisa,4,3.0
4,1,1,1,0,1,1,0,1,0,0,,0,0,0,0,0,0,0,0,1,1,O link de entrada ....,Imenso,4,5.0
4,1,1,0,1,1,0,1,0,0,0,,0,0,0,0,0,0,0,1,1,1,,Bastante,4,4.0
4,1,1,0,0,1,1,0,0,0,1,,0,0,0,1,0,0,1,1,0,0,,Imenso,4,5.0
4,0,1,0,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,Imenso,4,5.0
4,0,0,0,0,1,1,0,0,0,0,Extrair PDF com visão geral do negócio,0,0,0,0,0,0,1,1,0,0,"Gostei bastante de todo o processo, só coloco 3 aspectos porque é obrigatório",Bastante,4,4.0
4,1,1,0,1,1,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,a plataforma não correr adequadamente no internet explorer,Alguma coisa,4,3.0
3,1,0,0,0,1,0,0,0,0,1,,0,1,0,0,1,1,0,0,0,0,,Bastante,3,4.0
4,1,0,0,1,1,1,0,0,0,1,,0,1,0,0,0,0,1,1,0,0,,Bastante,4,4.0
3,1,0,0,0,1,0,0,0,0,1,,0,1,0,1,0,0,1,0,0,0,,Bastante,3,4.0
4,0,1,0,1,1,0,0,0,1,1,,0,0,1,0,0,0,0,0,0,0,,Imenso,4,5.0
3,0,0,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,1,1,0,,Bastante,3,4.0
4,1,1,1,0,1,1,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,,Bastante,4,4.0
4,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,0,1,1,,Bastante,4,4.0
4,1,0,0,1,0,0,0,0,0,1,,0,0,0,0,1,0,0,1,0,0,,Bastante,4,4.0
2,1,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,mapas financeiros muito expeculativos,Alguma coisa,2,3.0
4,0,1,0,0,0,1,0,0,1,0,"Rapidez e Profissionalismo, por parte da Equipa",0,0,1,1,0,0,1,0,0,0,,Imenso,4,5.0
4,1,1,1,0,1,1,0,0,0,1,,0,0,0,1,0,0,0,1,1,0,,Bastante,4,4.0
4,0,1,1,1,0,1,1,0,0,1,,1,0,0,0,0,0,0,1,0,0,,Bastante,4,4.0
3,0,0,0,0,1,1,0,0,0,1,,0,0,1,1,0,0,0,0,0,0,Ser monótono,Alguma coisa,3,3.0
4,1,1,0,0,0,0,0,0,0,1,,0,0,1,1,1,0,0,0,0,0,,Bastante,4,4.0
4,0,0,0,0,1,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,Bastante,4,4.0
4,1,1,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,,Imenso,4,5.0
4,0,0,0,1,0,1,0,0,0,1,,1,1,1,0,0,0,0,0,0,0,,Bastante,4,4.0
4,1,1,1,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,Nenhum,Bastante,4,4.0
4,1,1,0,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,1,1,0,carregamento de informação via selecção de listagens pre-definidas,Bastante,4,4.0
4,0,0,1,1,1,1,0,0,0,0,,0,1,0,0,0,0,0,1,1,0,,Bastante,4,4.0
4,0,0,1,1,0,1,0,0,0,1,,1,1,0,0,0,0,1,0,0,0,,Bastante,4,4.0
4,1,1,0,0,0,1,0,0,0,0,,0,0,1,1,0,0,1,0,0,0,,Bastante,4,4.0
3,1,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1,,Bastante,3,4.0
4,1,1,1,1,0,0,1,0,0,1,,0,0,0,0,1,0,0,1,1,0,,Imenso,4,5.0
4,1,1,1,1,1,1,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,,Imenso,4,5.0
4,1,1,1,0,1,1,0,0,0,1,,0,0,0,0,0,0,1,1,0,0,Os exemplos são bons mais poderiam dar um numero maior de exemplos,Imenso,4,5.0
4,0,1,0,0,0,1,0,0,0,0,Interatividade,0,0,0,0,0,0,0,0,0,0,Não existem aspectos negativos. Como toda ferramenta deve evoluir.,Bastante,4,4.0
4,0,1,0,0,1,0,1,0,0,1,,0,1,0,1,0,0,0,0,1,0,às vezes não se consegue recuar nas questões,Imenso,4,5.0
4,0,1,0,0,0,0,0,1,0,1,,0,0,1,1,1,0,0,0,0,0,,Bastante,4,4.0
4,1,1,0,1,1,1,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,gostei de tudo,Bastante,4,4.0
4,0,1,0,1,0,0,0,0,0,1,,0,0,1,1,0,0,0,1,0,0,,Imenso,4,5.0
4,0,0,0,1,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,1,Demora nas respostas aos e-mails,Bastante,4,4.0
4,1,1,0,1,0,1,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,gostei de tudo,Imenso,4,5.0
2,1,1,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,Pouca informação em como obter dados onbjectivos para o plano de negócios. Pouco apoio!,Bastante,2,4.0
3,0,1,0,1,1,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,Bastante,3,4.0
4,1,1,0,1,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,A barra de menu ou navegaçõ do projecto tem de estar sempre ao lado ou de uma forma mais accesível. Uma pessoa tem de fazer muitos acertos e logo para ir ao índice deve realizar muitos passos.,Imenso,4,5.0
4,1,1,0,0,0,1,0,0,0,1,,0,0,0,0,1,0,0,1,0,0,velocidade baixa,Bastante,4,4.0
4,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,não achei nada que não goste,Imenso,4,5.0
4,0,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Não há nenhum aspecto que possa assinalar como negativo,Imenso,4,5.0
4,0,1,0,0,1,0,1,0,0,0,,1,0,1,0,0,0,0,0,1,0,,Imenso,4,5.0
3,0,1,0,0,0,0,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,,Bastante,3,4.0
4,1,1,0,0,0,1,1,0,0,0,,0,0,1,1,1,0,0,0,0,0,,Imenso,4,5.0
4,1,0,0,0,0,1,1,0,0,0,,0,1,0,0,1,0,0,1,0,0,,Bastante,4,4.0
4,1,0,1,1,0,1,0,1,1,1,,0,1,0,0,1,0,1,0,0,0,,Imenso,4,5.0
3,1,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,"O facto de não podermos apresentar os resultados e os investimentos de forma progressiva. Como por exemplo, querermos contratar 12 pessoas, mas inicialmente começamos apenas por 4. Da forma como a plataforma está montada, não possibilita esse cenário.",Bastante,3,4.0
4,1,1,1,0,0,0,1,0,0,1,,0,0,0,0,1,0,0,0,0,0,,Alguma coisa,4,3.0
4,0,1,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,,Bastante,4,4.0
4,1,1,1,1,1,1,1,1,1,1,,0,1,0,0,0,1,0,0,0,1,,Bastante,4,4.0
4,0,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,nenhum,Bastante,4,4.0
4,0,0,1,0,1,1,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,,Bastante,4,4.0
3,0,1,0,0,0,1,0,0,0,1,,0,0,1,0,0,0,1,0,0,0,Falta de um calendário com as datas de conclusão das diversas fases.,Bastante,3,4.0
4,0,1,0,1,1,0,0,0,1,0,,1,0,1,0,0,0,0,1,0,0,,Imenso,4,5.0
4,0,0,0,1,1,0,1,0,0,0,,0,1,0,0,0,0,0,1,0,0,Falta de campos para informações detalhadas,Alguma coisa,4,3.0
4,0,1,1,0,0,1,0,1,0,0,,0,0,0,1,1,0,0,0,0,0,O plano financeiro poderia ser mais esclarecedor,Bastante,4,4.0
4,1,1,1,0,1,1,0,1,0,1,,0,0,0,1,0,0,1,0,1,0,,Bastante,4,4.0
4,1,1,0,1,0,0,0,0,0,0,,0,0,1,0,1,1,0,0,0,0,,Imenso,4,5.0
3,1,1,0,0,1,0,0,0,0,0,Orientação simples e resultados complexos: Encaixa a ideia num plano de negócios com grande facilidade (passo a passo),0,0,0,0,0,0,0,0,0,0,"Ao preencher uma questão, se não clicar em seguinte, não guarda. Se quiser interromper o preenchimento de um campo para consultar o que respondeu na última folha, perde todos os dados.",Bastante,3,4.0
3,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,,Bastante,3,4.0
3,1,0,0,1,1,0,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,,Bastante,3,4.0
4,0,1,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,Não encontro aspetos negativos.,Imenso,4,5.0
4,0,1,0,1,1,1,0,0,0,0,,0,0,1,0,0,0,1,0,0,1,,Bastante,4,4.0
4,1,0,0,1,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,0,0,,Bastante,4,4.0
4,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Nada a apontar,Alguma coisa,4,3.0
3,1,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,Bastante,3,4.0
4,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,Não identifico aspetos negativos.,Bastante,4,4.0
3,1,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,Alguma coisa,3,3.0
4,1,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,............,Alguma coisa,4,3.0
3,1,1,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,,Bastante,3,4.0
3,1,0,1,1,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,1,,Alguma coisa,3,3.0
4,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,nenhum,Bastante,4,4.0
4,0,0,0,0,1,0,0,0,1,1,,1,0,0,0,0,0,0,0,0,0,,Bastante,4,4.0
4,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,Bastante,4,4.0
4,0,1,0,0,1,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,limitação de espaço para respostas,Alguma coisa,4,3.0
4,1,1,0,1,1,1,0,0,0,1,,0,0,0,0,0,0,1,1,0,0,Nada a assinalar de negativo.,Imenso,4,5.0
4,0,1,0,0,1,0,0,0,0,1,,1,0,0,1,0,0,0,1,0,0,,Bastante,4,4.0
4,1,0,0,1,1,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,Não consigo apontar nada negativo,Imenso,4,5.0
4,0,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Somos mesmos obrigados a responder? mesmo quando para nós tudo está bem?,Imenso,4,5.0
3,0,1,0,0,0,1,0,0,0,1,,0,0,1,0,1,0,1,0,0,0,,Bastante,3,4.0
4,1,1,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,1,1,0,,Alguma coisa,4,3.0
4,0,0,1,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,Falta de espaço para definir a estratégia de Marketing,Bastante,4,4.0
4,0,1,0,0,1,0,1,0,0,0,,1,0,0,0,0,0,1,0,0,0,Acesso fácil ao que se escreveu globalmente num memorando texto único,Bastante,4,4.0
4,0,1,1,1,1,1,1,0,0,1,,1,0,0,0,0,0,0,1,1,0,,Bastante,4,4.0
1,1,1,0,0,0,1,0,0,0,0,,0,0,1,1,1,0,0,0,0,0,,Imenso,1,5.0
4,1,0,0,0,1,1,0,0,0,1,,0,1,1,1,0,0,0,0,0,0,,Bastante,4,4.0
3,0,1,0,0,1,1,0,0,0,0,,1,0,0,1,0,0,1,0,0,0,,Bastante,3,4.0
4,1,0,1,0,1,0,0,0,1,1,,0,1,0,1,0,0,1,0,0,0,,Bastante,4,4.0
4,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,"Sites para saber preços ou custos como licenças, etc. Ha possibilidade de vincular??",Imenso,4,5.0
2,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,Pouco,2,2.0
4,0,1,0,0,0,1,0,0,0,1,,1,0,0,1,1,0,0,0,0,0,,Bastante,4,4.0
3,0,0,0,1,1,0,0,0,0,1,,0,1,1,0,0,0,0,0,0,0,Não ter aulas presenciais para poder expor as dúvidas com que me deparo.,Bastante,3,4.0
3,0,1,0,1,1,0,0,0,0,0,,0,0,1,0,0,0,0,1,1,0,,Bastante,3,4.0
4,0,1,0,0,1,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,,Bastante,4,4.0
4,1,1,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,Alguma coisa,4,3.0
3,1,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,Muito lenta (no meu computador),Alguma coisa,3,3.0
4,1,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,A barra de navegação do Índice deveria estar sempre ao lado.,Imenso,4,5.0
3,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,0,1,,Bastante,3,4.0
4,0,0,0,0,0,1,1,0,0,1,,0,1,1,0,0,0,1,0,0,0,,Bastante,4,4.0
3,1,1,1,0,0,1,1,0,0,1,,0,0,0,1,1,0,0,0,0,0,,Alguma coisa,3,3.0
3,0,1,0,1,1,1,0,0,1,1,,1,0,1,0,0,0,1,0,0,0,,Bastante,3,4.0
4,1,0,0,0,1,1,0,0,0,0,,0,1,0,0,0,0,0,1,1,0,,Imenso,4,5.0
4,0,0,1,0,1,0,0,0,1,0,,1,0,0,0,0,0,1,1,0,0,,Bastante,4,4.0
4,1,0,1,1,1,1,0,0,1,0,,0,0,0,0,0,0,1,0,0,0,,Imenso,4,5.0
3,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,Achei um pouco confusa a ferramento dos Números Resultado,Imenso,3,5.0
4,0,1,1,0,1,1,0,1,1,1,,1,0,0,1,0,0,1,0,0,0,,Bastante,4,4.0
3,1,1,0,0,0,1,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,,Alguma coisa,3,3.0
4,0,1,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,Imenso,4,5.0
4,1,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,Bastante,4,4.0
3,0,0,1,0,1,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,"pouca interação com pessoas, falta de respostas",Bastante,3,4.0
3,1,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,1,1,,Pouco,3,2.0
4,1,1,0,1,1,1,0,0,0,1,,0,0,1,0,0,0,0,1,1,0,,Imenso,4,5.0
4,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,Imenso,4,5.0
4,1,1,0,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,nenhum a referir,Imenso,4,5.0
3,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,Alguma coisa,3,3.0
3,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,Alguma coisa,3,3.0
3,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,Alguma coisa,3,3.0
4,1,1,1,0,0,0,0,0,0,0,,0,0,0,1,1,0,1,0,0,0,,Bastante,4,4.0
4,1,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,,Nada,4,1.0
4,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,nenhum,Alguma coisa,4,3.0
4,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,As questões relativas aos valores do projeto.,Alguma coisa,4,3.0
4,0,1,0,1,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,número limitado para escrever em perguntas que por vezes gostávamos de nos explicar melhor.,Bastante,4,4.0
4,0,1,0,0,0,1,0,0,0,1,,0,0,1,1,0,0,1,0,0,0,,Bastante,4,4.0
4,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,1,,Imenso,4,5.0
4,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,Nada em particular,Imenso,4,5.0
4,1,1,0,0,1,0,0,0,0,1,,0,0,1,1,0,0,0,0,1,0,,Bastante,4,4.0
4,0,1,0,0,1,1,1,0,0,0,,1,0,0,0,0,0,0,1,0,0,Tempo de resposta às dúvidas,Imenso,4,5.0
4,0,0,0,1,1,1,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,Não permitir visualizar ou exportar todas as questões (julgo que isso permitiria nos orientar para as etapas seguintes),Bastante,4,4.0
4,1,1,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,1,0,0,Facilidade em apagar pontos quando vamos editar,Imenso,4,5.0
4,0,1,0,1,0,0,1,0,0,0,,0,0,1,1,0,1,0,0,0,0,,Bastante,4,4.0
4,0,1,0,1,1,1,1,0,0,1,,1,0,1,0,0,0,0,0,1,0,,Imenso,4,5.0
4,0,1,0,0,1,1,1,0,0,0,,0,0,1,1,0,0,0,0,0,1,,Imenso,4,5.0
4,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,1,,Bastante,4,4.0
4,0,1,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,1,,Bastante,4,4.0
4,1,1,0,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,Nada de aspecto negativo.,Bastante,4,4.0
4,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,1,,Imenso,4,5.0
4,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,1,0,0,0,,Bastante,4,4.0
4,0,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,Tempo de resposta ás questões colocadas,Imenso,4,5.0
4,1,1,0,0,1,1,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,,Bastante,4,4.0
3,0,0,0,1,1,0,0,0,1,0,,1,0,0,0,0,0,1,0,0,1,,Alguma coisa,3,3.0
4,1,0,0,0,1,0,1,0,0,0,,0,0,0,1,0,1,1,0,0,0,,Alguma coisa,4,3.0
4,1,1,0,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,Não existe nenhum aspecto crítico relevante,Bastante,4,4.0
4,1,1,0,0,0,1,0,0,0,0,,0,0,1,1,1,0,0,0,0,0,,Bastante,4,4.0
4,0,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Não encontrei o que menos gosto.,Alguma coisa,4,3.0
4,1,0,1,1,1,0,0,0,0,0,,0,1,0,0,0,0,1,1,0,0,,Imenso,4,5.0
4,1,1,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,Gosto de todo lo demás,Alguma coisa,4,3.0
4,1,1,0,0,1,0,0,0,0,0,,0,0,1,1,0,0,0,1,0,0,,Imenso,4,5.0
2,0,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,Nao se pode inserir os projetos ja escritos (assim a submissao ia dar menos trabalho),Alguma coisa,2,3.0
3,0,0,1,1,1,1,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,Por vezes não grava o que se coloca e não reparamos e perdemos dados,Bastante,3,4.0
3,1,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,,Alguma coisa,3,3.0
4,1,1,0,0,0,1,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,,Alguma coisa,4,3.0
4,0,1,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,Falta de acesso fácil a um tirador de dúvidas,Alguma coisa,4,3.0
4,0,1,1,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,Há momentos em que temos dificuldade em avançar por falta de dados do nosso negocio,Bastante,4,4.0
4,1,1,0,0,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,Não tenho nenhum aspecto a considerar,Bastante,4,4.0
4,1,1,1,1,1,1,1,0,1,1,,0,0,0,1,0,0,0,1,0,0,Algumas visualizações da planilha,Imenso,4,5.0
4,0,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Não tennho nada a apontar,Imenso,4,5.0
4,1,0,0,1,0,0,0,0,0,1,,0,0,1,1,0,0,1,0,0,0,,Imenso,4,5.0
3,0,1,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,,Alguma coisa,3,3.0
4,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,,Imenso,4,5.0
4,1,0,0,1,1,1,0,0,0,1,,0,0,0,0,0,0,1,1,1,0,,Imenso,4,5.0
4,0,1,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,,Imenso,4,5.0
4,0,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Nada a,Bastante,4,4.0
4,1,0,0,0,0,0,0,0,0,1,,0,1,0,0,1,0,1,0,0,0,,Alguma coisa,4,3.0
4,1,1,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,Por vezes fiquei com a sensação que já tinha respondido e repeti informação. Mas posso ter sido eu que não compreendi bem algum passo.,Bastante,4,4.0
3,1,1,0,0,1,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,,Alguma coisa,3,3.0
3,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,"às vezes parecia-me que não entendia bem, pois a minha formação tem sido nas letras e nas artes em geral",Bastante,3,4.0
4,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,,Bastante,4,4.0
4,1,1,1,1,1,0,1,1,0,1,,0,0,0,0,0,1,0,0,1,0,não há,Bastante,4,4.0
3,1,1,0,1,1,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,"A parte final dos numeros é um pouco complexa, é dificel alterar",Bastante,3,4.0
4,1,1,1,1,1,1,0,0,0,1,,0,0,0,0,0,0,1,1,1,0,,Imenso,4,5.0
4,0,0,0,1,1,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,"Gostei de tudo, pois tudo foi-me útil para poder avançar.",Imenso,4,5.0
4,0,0,0,0,1,1,0,1,0,1,,1,1,0,0,0,0,1,0,0,0,,Bastante,4,4.0
4,0,0,0,0,1,1,0,0,0,1,,0,0,1,0,0,0,0,1,1,0,,Imenso,4,5.0
4,0,0,1,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,Não houve nada que não gostasse,Alguma coisa,4,3.0
4,1,1,0,0,0,0,1,0,0,1,,0,0,1,1,1,0,0,0,0,0,,Bastante,4,4.0
4,0,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Não ter um chat para tirar dúvidas em tempo real.,Imenso,4,5.0
4,0,0,0,1,0,1,0,0,0,1,"No geral, é um programa fantástico para qualquer implementação de ideia.",0,0,0,1,1,0,0,0,0,0,Mais nenhum.,Bastante,4,4.0
4,0,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Mais exemplos nas etapas finais finais e explicação de mais conceitos,Bastante,4,4.0
4,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,nada,Pouco,4,2.0
4,0,0,0,0,0,1,0,0,1,1,,1,0,0,1,1,0,0,0,0,0,,Bastante,4,4.0
3,1,1,0,0,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,1,,Alguma coisa,3,3.0
3,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Não há nada que eu não goste. Não sinto competente para este tipo de questão.,Alguma coisa,3,3.0
3,0,1,1,0,0,0,0,0,0,0,"Intuitiva, emotiva e encorajadora.",0,0,0,0,0,0,0,0,0,0,Algumas respostas poderiam disponibilizar mais alguns caracteres.,Bastante,3,4.0
4,1,1,1,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,Nenhum,Imenso,4,5.0
4,0,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,"falta de ajuda imediata, demoraram 12 dias a responder a um e-mail e a linha telefonica está sempre isdisponivel",Imenso,4,5.0
4,0,1,0,0,1,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,Nada,Bastante,4,4.0
3,1,0,0,1,1,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,,Alguma coisa,3,3.0
3,0,0,0,1,1,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,,Bastante,3,4.0
4,0,0,0,1,0,1,0,0,0,0,uso amigável e intuitivo,1,0,1,0,0,0,0,0,1,1,,Bastante,4,4.0
