"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual,Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta,Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas,Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos,Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos,Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios,Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface,Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos,Quais são os seus 3 aspectos preferidos da ferramenta ? Outros,Unnamed: 12,E quais são os 3 aspectos que menos gosta? Aspecto visual,E quais são os 3 aspectos que menos gosta? Navegação na ferramenta,E quais são os 3 aspectos que menos gosta? Perguntas,E quais são os 3 aspectos que menos gosta? Exemplos,E quais são os 3 aspectos que menos gosta? Vídeos,E quais são os 3 aspectos que menos gosta? Modelo de Negócios,E quais são os 3 aspectos que menos gosta? Indicações de interface,E quais são os 3 aspectos que menos gosta? Mural de equipa,E quais são os 3 aspectos que menos gosta? Gestão de equipa,E quais são os 3 aspectos que menos gosta? Gestão de projectos,E quais são os 3 aspectos que menos gosta? Outros,Unnamed: 24,Quanto aprendeu com a DreamShaper?,Unnamed: 26,Em que etapa do concurso sentiu mais dificuldade?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
3.0,0,0,0,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,0,0,0,,,Alguma coisa,,Etapa 4,3.0,3.0
4.0,0,0,0,1,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,,,Alguma coisa,,Etapa 4,4.0,3.0
3.0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
4.0,1,1,0,0,0,0,1,0,0,0,,,0,0,0,1,1,0,0,1,0,0,,,Bastante,,Etapa 4,4.0,4.0
2.0,0,0,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,1,0,0,0,Falta de feedback do projeto pela equipa do Acredita Portugal.,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,2.0,3.0
3.0,0,1,0,0,1,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,,,Bastante,,Etapa 4,3.0,4.0
4.0,1,0,1,1,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,NS,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
1.0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,1,1,0,,,Pouco,,Etapa 1,1.0,2.0
4.0,0,0,0,0,0,1,0,0,0,0,,,0,0,1,0,1,0,1,0,0,0,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,3.0
4.0,1,0,1,1,1,1,1,0,0,0,,,0,0,0,0,0,0,0,1,1,1,,,Bastante,,Etapa 4,4.0,4.0
3.0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,1,1,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
4.0,1,1,0,1,1,0,1,1,1,1,,,0,0,0,0,0,0,0,0,0,0,quanto as entrevistas sobre o plano de negócio,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
2.0,1,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,1,0,0,0,,,Nada,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,2.0,1.0
4.0,0,1,0,1,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,"Não refiro nenhum, em particular",,Bastante,,Etapa 4,4.0,4.0
4.0,1,1,0,0,0,1,0,0,0,0,,,0,0,0,1,1,0,0,0,1,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,1,1,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,1,1,1,,,Bastante,,Etapa 3,4.0,4.0
4.0,0,0,0,0,0,1,1,0,0,1,,,0,1,0,1,0,0,0,0,0,0,,,Alguma coisa,,Etapa 3,4.0,3.0
4.0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,1,0,0,0,0,0,0,,,Bastante,,Etapa 2,4.0,4.0
4.0,1,1,0,0,0,1,1,1,0,1,,,0,0,0,0,1,0,0,0,0,0,,,Imenso,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,5.0
4.0,1,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,1,0,0,1,,,Bastante,,Etapa 2,4.0,4.0
4.0,1,1,1,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,0,0,0,nenhum... acho a plataforma muito bem coneguida,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
2.0,0,1,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0,1,0,0,0,,,Alguma coisa,,Etapa 2,2.0,3.0
2.0,1,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,1,0,1,0,1,,,Alguma coisa,,Etapa 3,2.0,3.0
4.0,1,1,0,0,1,0,0,0,0,0,,,0,0,1,0,0,0,1,0,0,1,,,Alguma coisa,,Etapa 2,4.0,3.0
4.0,0,0,0,1,0,1,1,0,0,1,,,0,1,0,0,0,0,0,0,1,0,,,Alguma coisa,,Etapa 4,4.0,3.0
4.0,0,1,1,0,1,1,0,0,0,1,,,1,0,0,0,0,0,1,0,1,0,,,Imenso,,Etapa 4,4.0,5.0
4.0,0,1,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,1,0,1,0,,,Bastante,,Etapa 4,4.0,4.0
3.0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,1,0,1,1,0,0,0,,,Alguma coisa,,Etapa 2,3.0,3.0
3.0,1,1,0,1,1,1,0,0,0,0,,,0,0,0,0,0,0,1,1,1,0,,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,4.0
3.0,0,1,0,1,0,1,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,,,Pouco,,Etapa 4,3.0,2.0
4.0,1,1,0,0,1,1,0,0,1,1,,,0,0,0,1,0,0,0,0,0,0,,,Imenso,,Etapa 4,4.0,5.0
3.0,0,1,1,0,1,1,0,0,0,1,,,0,0,0,1,0,0,1,1,0,0,,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,4.0
4.0,0,0,0,0,0,0,0,0,0,1,,,0,1,0,0,0,0,1,0,1,0,,,Bastante,,Etapa 1,4.0,4.0
2.0,1,0,0,1,1,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,1,Termos muito técnicos para leigos,,Pouco,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,2.0,2.0
2.0,1,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,1,0,0,0,,,Alguma coisa,,Etapa 4,2.0,3.0
4.0,0,1,0,0,0,1,0,1,0,0,,,0,0,1,1,0,0,1,0,0,0,,,Alguma coisa,,Etapa 3,4.0,3.0
2.0,1,0,1,1,1,0,1,0,0,1,,,0,1,0,0,0,1,0,1,1,0,,,Bastante,,Etapa 3,2.0,4.0
3.0,1,0,1,1,0,0,0,0,0,0,,,0,0,0,1,1,0,0,0,1,0,,,Alguma coisa,,Etapa 3,3.0,3.0
4.0,0,1,0,0,1,1,0,0,0,0,,,0,0,1,0,0,0,1,1,0,0,,,Alguma coisa,,,4.0,3.0
4.0,0,0,1,1,1,1,1,0,0,0,,,0,1,0,0,0,0,0,0,0,0,,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
4.0,0,1,1,0,0,1,0,0,0,1,,,0,0,0,0,0,0,0,0,1,0,Nao desgostei de algo em particular. ACho que foi eficiente e facil de utilizar.,,Bastante,,Etapa 3,4.0,4.0
4.0,0,0,0,1,1,1,0,0,0,0,,,0,0,0,0,0,0,0,1,0,1,nada mais a apontar,,Alguma coisa,,Etapa 4,4.0,3.0
3.0,0,1,0,0,0,1,1,0,0,1,,,1,0,0,0,0,0,0,1,1,0,,,Alguma coisa,,Etapa 4,3.0,3.0
4.0,1,1,0,1,0,1,0,0,1,1,,,0,0,1,1,0,0,0,1,0,0,,,Bastante,,Etapa 4,4.0,4.0
2.0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,1,1,0,1,1,1,1,,,Pouco,,Etapa 3,2.0,2.0
2.0,0,0,1,1,0,1,0,0,0,0,,,0,1,0,0,0,0,1,0,0,0,Falta de explicações do mecanismos por trás dos calculos apresentados...,,Alguma coisa,,Etapa 4,2.0,3.0
2.0,1,1,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,1,1,0,0,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,2.0,3.0
3.0,1,1,0,0,0,0,1,1,0,0,,,0,0,0,1,0,0,0,0,1,1,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
3.0,1,0,1,1,0,0,0,0,0,0,,,0,0,0,0,1,1,1,0,0,0,,,Alguma coisa,,Etapa 4,3.0,3.0
3.0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,1,0,0,0,Em alguns casos espaço para texto curto e em outros excessivo.,,Alguma coisa,,Etapa 4,3.0,3.0
3.0,0,0,0,1,1,1,0,0,0,0,bhjhbjh,,1,1,1,0,0,0,0,0,1,1,bhhj,,Bastante,,Etapa 4,3.0,4.0
4.0,1,0,1,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,planilha de investimentos,,Imenso,,Etapa 4,4.0,5.0
1.0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,,,Nada,,Etapa 1,1.0,1.0
4.0,1,1,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,1,1,0,,,Bastante,,Etapa 3,4.0,4.0
4.0,1,0,0,0,0,1,1,0,0,1,Sem esta ferramenta nunca teria conseguido criar um plano financeiro para 3 anos.,,0,0,0,0,0,0,0,0,0,0,"Na verdade, fiquei grandemente agradado com a ferramenta que não conhecia e que já recomendei a um amigo que tem uma empresa de formação.",,Imenso,,Etapa 4,4.0,5.0
4.0,1,0,0,0,1,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,,,Bastante,,Etapa 3,4.0,4.0
1.0,0,0,0,0,0,0,0,0,0,0,não tenho aspectos preferidos,,1,1,0,1,0,0,0,0,0,0,,,Alguma coisa,,Etapa 2,1.0,3.0
3.0,0,0,1,0,0,1,0,0,0,0,,,0,0,1,1,0,0,0,0,0,1,,,Pouco,,Etapa 3,3.0,2.0
2.0,0,0,0,0,0,0,0,0,0,0,fácil de usar,,0,0,0,0,0,0,0,0,0,0,Não está direccionada para projectos sociais,,Nada,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,2.0,1.0
3.0,0,0,1,1,0,0,0,0,0,1,,,0,1,0,0,0,0,1,1,0,0,,,Imenso,,Etapa 4,3.0,5.0
4.0,1,0,0,1,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,1,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,3.0
2.0,1,1,0,0,0,0,0,0,0,0,,,0,0,1,1,1,1,1,0,0,0,,,Alguma coisa,,Etapa 4,2.0,3.0
3.0,1,1,0,0,0,0,0,0,0,1,,,0,0,0,1,1,0,0,0,1,0,,,Alguma coisa,,Etapa 3,3.0,3.0
4.0,0,0,0,0,0,1,1,0,1,1,,,1,1,0,1,0,0,0,0,0,0,,,Bastante,,Etapa 2,4.0,4.0
3.0,1,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,,,Alguma coisa,,,3.0,3.0
4.0,1,1,0,0,0,1,0,0,0,1,,,0,0,0,0,1,0,0,1,1,0,,,Bastante,,Etapa 4,4.0,4.0
3.0,0,1,0,1,1,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,,,Bastante,,Etapa 4,3.0,4.0
3.0,0,1,0,1,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,,,Bastante,,Etapa 4,3.0,4.0
3.0,0,1,0,0,0,1,0,0,0,1,,,0,0,0,1,0,0,0,1,0,0,Nas FAQ as respostas não são sempre claras,,Imenso,,Etapa 3,3.0,5.0
1.0,0,1,0,0,1,0,0,0,0,0,,,0,0,1,0,0,0,1,0,0,1,,,Pouco,,Etapa 4,1.0,2.0
3.0,1,1,0,0,0,0,0,0,0,1,,,0,0,1,0,0,0,1,0,1,0,,,Alguma coisa,,Etapa 4,3.0,3.0
2.0,1,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,1,0,0,,,Alguma coisa,,Etapa 4,2.0,3.0
4.0,0,1,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,1,1,0,0,Indice pouco direto,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
1.0,0,0,0,0,0,0,0,0,0,0,nenhum,,1,0,0,1,0,0,0,0,0,1,,,Nada,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,1.0,1.0
3.0,0,0,0,1,0,1,0,1,0,0,,,0,0,0,1,1,0,0,0,0,1,,,Bastante,,Etapa 4,3.0,4.0
2.0,0,0,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,,,Pouco,,Etapa 3,2.0,2.0
1.0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,,,Nada,,,1.0,1.0
4.0,0,1,1,0,1,1,1,1,0,1,,,1,0,0,1,0,0,0,0,0,0,Não tenho nada que no tenha gostado,,Imenso,,Etapa 4,4.0,5.0
4.0,0,0,0,0,1,0,0,0,1,1,,,0,0,1,1,0,1,0,0,0,0,,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
3.0,0,0,0,0,1,0,0,0,0,0,,,1,1,0,0,0,0,1,0,0,0,,,Alguma coisa,,Etapa 4,3.0,3.0
2.0,0,0,0,0,1,0,1,0,0,0,,,0,1,1,0,0,0,0,0,0,0,Falta de apoio por parte do programa,,Alguma coisa,,Etapa 3,2.0,3.0
4.0,0,0,1,0,1,1,1,0,1,1,,,0,1,0,0,0,0,0,0,0,0,Limite de carateres de resposta em algumas fases e impossibilidade de gravar continuamente a informação,,Bastante,,Etapa 4,4.0,4.0
2.0,0,0,0,0,0,0,0,0,0,0,Não posso especificar porque fiquei bloqueado,,0,0,0,0,0,0,0,0,0,0,Não posso especificar porque fiquei bloqueado,,Alguma coisa,,Etapa 4,2.0,3.0
2.0,0,0,0,1,0,0,0,0,0,1,,,0,0,0,0,0,1,1,1,0,0,,,Alguma coisa,,Etapa 2,2.0,3.0
4.0,1,1,1,0,1,1,1,0,1,1,,,0,0,0,0,0,0,0,0,0,0,"gostei muito de tudo , parabéns !",,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
4.0,1,1,1,1,1,1,0,0,0,1,,,0,0,0,0,1,0,0,0,0,0,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,3.0
3.0,0,0,0,1,1,1,0,0,0,0,,,0,1,0,0,0,0,1,1,0,0,,,Bastante,,Etapa 4,3.0,4.0
2.0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,1,1,1,0,0,0,0,,,Pouco,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,2.0,2.0
3.0,0,0,0,1,0,1,0,0,0,1,,,1,1,0,1,0,0,0,0,0,0,,,Alguma coisa,,Etapa 4,3.0,3.0
3.0,0,1,1,1,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,,,Bastante,,Etapa 4,3.0,4.0
3.0,0,0,0,0,0,1,1,0,0,1,,,0,1,0,0,1,0,1,0,0,0,,,Alguma coisa,,Etapa 4,3.0,3.0
3.0,1,1,0,0,1,0,0,0,0,0,,,0,0,1,0,0,1,0,0,0,1,,,Alguma coisa,,Etapa 4,3.0,3.0
4.0,0,1,0,1,0,1,0,0,0,0,,,1,0,0,0,0,0,1,1,0,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,0,1,0,1,0,1,0,0,0,0,,,0,0,0,0,0,0,1,1,1,0,,,Bastante,,Etapa 4,4.0,4.0
3.0,0,0,1,0,0,1,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
4.0,0,1,0,0,1,1,0,0,0,0,,,0,0,1,1,0,0,0,1,0,0,,,Bastante,,Etapa 4,4.0,4.0
2.0,0,1,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,...,,Pouco,,Etapa 4,2.0,2.0
3.0,0,0,0,1,1,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,Pouco profundo em alguns aspectos,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
3.0,1,0,0,0,0,1,0,0,1,0,,,0,1,0,1,0,0,1,0,0,0,Falta de feedback,,Alguma coisa,,Etapa 4,3.0,3.0
